Complaint_ID,Date_Received,Product_Name,Product,Issue,Company,State_Name,Portals,Company_Response_to_Consumer,Timely_Response
469334,7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Ocwen,MA,Web,Closed with explanation,Yes
469340,7/29/2013,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, Inc.",FL,Web,Closed with explanation,Yes
469487,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",CIT Bank National Association,NY,Web,Closed with explanation,Yes
469394,7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,Web,Closed with explanation,Yes
469408,7/29/2013,Debt collection,I do not know,Communication tactics,"Alpine Financial Solutions, Inc.",KY,Postal mail,Closed with explanation,Yes
469411,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,TN,Web,Closed with explanation,Yes
469414,7/29/2013,Bank account or service,Checking account,Problems caused by my funds being low,Wells Fargo & Company,NJ,Phone,Closed with explanation,Yes
469423,7/29/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Citibank,GA,Web,Closed with explanation,Yes
479282,7/29/2013,Credit reporting,,Improper use of my credit report,Equifax,MO,Fax,Closed with explanation,Yes
469428,7/29/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,U.S. Bancorp,MN,Web,Closed with non-monetary relief,Yes
475777,7/29/2013,Credit card,,Billing disputes,Capital One,FL,Web,Closed with explanation,Yes
469446,7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,Wells Fargo & Company,CA,Web,Closed with explanation,Yes
469447,7/29/2013,Bank account or service,Checking account,"Account opening, closing, or management",First Tennessee Bank,TN,Phone,Closed with explanation,Yes
467427,7/29/2013,Student loan,Non-federal student loan,Repaying your loan,Discover,MA,Web,Closed with explanation,Yes
464039,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Phone,Closed with explanation,Yes
469461,7/29/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",Bank of America,CA,Web,Closed with explanation,Yes
469473,7/29/2013,Credit card,,Credit line increase/decrease,Citibank,WI,Phone,Closed with explanation,Yes
469479,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Ocwen,CA,Web,Closed with explanation,Yes
469499,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",CIT Bank National Association,CA,Phone,Closed,Yes
469501,7/29/2013,Debt collection,Credit card,Communication tactics,"Borenstein & Associates, LLC",WY,Web,Closed,Yes
469513,7/29/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,"Houston Home Loan, Inc.",TX,Web,Closed with explanation,Yes
480183,7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Ocwen,NY,Web,Closed,Yes
469525,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ocwen,VA,Web,Closed with explanation,Yes
469537,7/29/2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,Bank of America,NY,Phone,Closed with explanation,Yes
469507,7/29/2013,Credit reporting,,Incorrect information on credit report,"Fidelity National Information Services, Inc. (FNIS)",CT,Referral,Closed with explanation,Yes
469508,7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,People's United Bank,CT,Referral,Closed with explanation,Yes
469589,7/29/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account","Citizens Financial Group, Inc.",VT,Web,Closed with non-monetary relief,Yes
469241,7/30/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,Ally Financial Inc.,MI,Fax,Closed with explanation,Yes
469606,7/29/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,"Asset Management Outsourcing, Inc.",NY,Web,Closed with explanation,Yes
470828,7/30/2013,Credit card,,Payoff process,Wells Fargo & Company,NV,Phone,Closed with explanation,Yes
470831,7/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Bank of America,CA,Web,Closed with non-monetary relief,Yes
480463,7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,TD Bank US Holding Company,NJ,Postal mail,Closed with monetary relief,Yes
479873,7/29/2013,Credit reporting,,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",CO,Web,Closed with non-monetary relief,Yes
472678,7/30/2013,Bank account or service,Checking account,Using a debit or ATM card,JPMorgan Chase & Co.,NY,Web,Closed with explanation,Yes
469641,7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,Wells Fargo & Company,FL,Web,Closed with explanation,Yes
470665,7/30/2013,Bank account or service,Savings account,Deposits and withdrawals,JPMorgan Chase & Co.,NY,Web,Closed with explanation,Yes
470852,7/30/2013,Credit card,,Closing/Cancelling account,Citibank,TX,Web,Closed with explanation,Yes
470863,7/31/2013,Bank account or service,Checking account,"Account opening, closing, or management",Wells Fargo & Company,GA,Web,Closed with non-monetary relief,Yes
469653,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,MI,Referral,Closed with explanation,Yes
455630,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Ocwen,NY,Referral,Closed with explanation,Yes
643256,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Referral,Closed with explanation,Yes
600367,7/29/2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,AZ,Referral,Closed with explanation,Yes
469664,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,NY,Referral,Closed with explanation,Yes
469666,7/29/2013,Credit reporting,,Incorrect information on credit report,Ocwen,MA,Referral,Closed,Yes
479338,7/31/2013,Credit card,,Billing statement,JPMorgan Chase & Co.,DE,Web,Closed with monetary relief,Yes
470903,7/31/2013,Bank account or service,Checking account,Deposits and withdrawals,Santander Bank US,NJ,Web,Closed with explanation,Yes
469669,7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",HSBC North America Holdings Inc.,OH,Phone,Closed with explanation,Yes
469670,7/29/2013,Credit reporting,,Credit reporting company's investigation,Experian,NY,Web,Closed with explanation,Yes
487029,7/31/2013,Debt collection,Credit card,Taking/threatening an illegal action,Encore Capital Group,NY,Web,Closed with explanation,Yes
469678,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ocwen,IN,Web,Closed with explanation,Yes
469732,7/30/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,"Fidelity National Information Services, Inc. (FNIS)",CO,Web,Closed with explanation,Yes
480935,7/31/2013,Credit card,,Payoff process,Citibank,NJ,Web,Closed with explanation,Yes
493136,7/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Bank of America,NY,Web,Closed with explanation,Yes
454695,7/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Nationstar Mortgage,CA,Web,Closed with explanation,Yes
469736,7/30/2013,Debt collection,Federal student loan,Communication tactics,"Navient Solutions, Inc.",NY,Web,Closed with explanation,Yes
748242,7/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Citibank,CA,Web,Closed with explanation,Yes
470913,7/31/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,The Moore Law Group,CA,Web,Closed with explanation,Yes
469711,7/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,"Franklin Collection Service, Inc.",IL,Phone,Closed with explanation,Yes
482443,7/31/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",HSBC North America Holdings Inc.,FL,Web,Closed with explanation,Yes
469734,7/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",EverBank,TN,Web,Closed with explanation,Yes
501508,7/31/2013,Credit reporting,,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",DE,Postal mail,Closed with explanation,Yes
469738,7/30/2013,Credit card,,Credit determination,Wells Fargo & Company,CA,Web,Closed with explanation,Yes
469739,7/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,CO,Web,Closed with explanation,Yes
469752,7/30/2013,Credit card,,Credit determination,Bank of America,FL,Web,Closed with explanation,Yes
469753,7/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,"Professional Debt Mediation, Inc.",FL,Web,Closed with explanation,Yes
466892,7/30/2013,Debt collection,Mortgage,Communication tactics,"Select Portfolio Servicing, Inc",NY,Web,Closed with explanation,Yes
469755,7/30/2013,Credit card,,Identity theft / Fraud / Embezzlement,Barclays PLC,SC,Web,Closed with explanation,Yes
470928,7/31/2013,Credit reporting,,Incorrect information on credit report,Capital One,GA,Web,Closed with explanation,Yes
476001,7/30/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Bank of America,CA,Web,Closed with explanation,Yes
470978,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,NC,Referral,Closed with explanation,Yes
469777,7/30/2013,Credit reporting,,Incorrect information on credit report,Experian,MN,Postal mail,Closed with explanation,Yes
469781,7/30/2013,Credit reporting,,Incorrect information on credit report,Experian,IA,Postal mail,Closed with explanation,Yes
479487,7/30/2013,Credit reporting,,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",OH,Web,Closed with explanation,Yes
470951,7/31/2013,Credit reporting,,Credit reporting company's investigation,Experian,IL,Postal mail,Closed with non-monetary relief,Yes
470955,7/31/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Receivables Performance Management LLC,NY,Web,Closed with explanation,Yes
470012,7/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,NC,Referral,Closed with explanation,Yes
643256,7/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,AL,Referral,Closed with explanation,Yes
469792,7/30/2013,Credit reporting,,Incorrect information on credit report,Equifax,NJ,Referral,Closed with non-monetary relief,Yes
470962,7/31/2013,Credit reporting,,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",IL,Postal mail,Closed with explanation,Yes
471071,7/31/2013,Bank account or service,Checking account,Problems caused by my funds being low,TD Bank US Holding Company,FL,Referral,Closed with monetary relief,Yes
470985,7/31/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",U.S. Bancorp,WI,Referral,Closed with explanation,Yes
470103,7/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Referral,Closed with explanation,Yes
470206,7/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Citibank,AL,Referral,Closed with monetary relief,Yes
470970,7/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Ocwen,FL,Phone,Closed with explanation,Yes
470132,7/30/2013,Credit card,,APR or interest rate,Amex,MA,Referral,Closed with explanation,Yes
469810,7/30/2013,Debt collection,I do not know,Disclosure verification of debt,"Convergent Resources, Inc.",NV,Referral,Closed,Yes
470151,7/30/2013,Credit card,,Billing disputes,Amex,NY,Referral,Closed with explanation,Yes
475278,7/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Bank of America,TX,Fax,Closed with explanation,Yes
471053,7/31/2013,Credit card,,Transaction issue,Discover,OR,Referral,Closed with non-monetary relief,Yes
535169,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,GA,Referral,Closed with explanation,Yes
474284,7/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",Ocwen,VA,Web,Closed with explanation,Yes
471000,7/31/2013,Credit reporting,,Incorrect information on credit report,Equifax,MI,Postal mail,Closed with explanation,Yes
479648,7/30/2013,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, Inc.",MD,Web,Closed with explanation,Yes
474893,7/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Provident Funding,CT,Web,Closed with explanation,Yes
471014,7/31/2013,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",Bank of America,NY,Web,Closed with explanation,Yes
470488,7/31/2013,Credit card,,Balance transfer fee,Discover,CA,Web,Closed with non-monetary relief,Yes
471164,7/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Bank of America,GA,Web,Closed with non-monetary relief,Yes
471015,7/31/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Specialized Loan Servicing LLC,CA,Web,Closed,Yes
469836,7/30/2013,Bank account or service,Checking account,"Account opening, closing, or management",Bank of America,IL,Phone,Closed with monetary relief,Yes
471021,7/31/2013,Credit reporting,,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",OR,Postal mail,Closed with explanation,Yes
468212,7/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Bank of America,OK,Web,Closed with explanation,Yes
479907,7/30/2013,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",CIT Bank National Association,FL,Referral,Closed with explanation,Yes
480943,7/31/2013,Credit reporting,,Incorrect information on credit report,Equifax,MO,Web,Closed with non-monetary relief,Yes
470235,7/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,MO,Referral,Closed with explanation,Yes
471037,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Postal mail,Closed with explanation,Yes
470298,7/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,SC,Referral,Closed with explanation,Yes
482436,7/31/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Total Recovery Solutions,TX,Web,Closed with explanation,Yes
471048,7/31/2013,Credit card,,Billing disputes,Bank of America,MT,Phone,Closed with monetary relief,Yes
476098,7/31/2013,Credit reporting,,Incorrect information on credit report,Experian,AL,Web,Closed with non-monetary relief,Yes
469980,7/30/2013,Mortgage,Other mortgage,Other,Ditech Financial LLC,NH,Referral,Closed with explanation,Yes
461803,7/31/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,"Afni, Inc.",NY,Postal mail,Closed with explanation,Yes
473955,7/31/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,PA,Web,Closed with explanation,Yes
470018,7/30/2013,Credit reporting,,Credit reporting company's investigation,Experian,TX,Web,Closed with explanation,Yes
469982,7/30/2013,Debt collection,Auto,Communication tactics,Santander Consumer USA Holdings Inc,IL,Web,Closed with explanation,Yes
469979,7/30/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,BMW Financial Services,IL,Web,Closed with explanation,Yes
470507,7/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,MD,Referral,Closed,Yes
461804,7/31/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,"Southwest Credit Systems, L.P.",NY,Postal mail,Closed,Yes
470022,7/30/2013,Credit card,,Closing/Cancelling account,Wells Fargo & Company,CO,Postal mail,Closed,Yes
476099,7/31/2013,Consumer Loan,Vehicle loan,Problems when you are unable to pay,Credit Acceptance Corporation,AL,Web,Closed with explanation,Yes
463412,7/30/2013,Bank account or service,Checking account,Deposits and withdrawals,TD Bank US Holding Company,NJ,Phone,Closed with explanation,Yes
471075,7/31/2013,Bank account or service,Savings account,"Account opening, closing, or management",Wells Fargo & Company,CA,Web,Closed with explanation,Yes
471067,7/31/2013,Credit card,,Billing disputes,JPMorgan Chase & Co.,MO,Web,Closed with monetary relief,Yes
471077,7/31/2013,Bank account or service,Checking account,Problems caused by my funds being low,TD Bank US Holding Company,NJ,Web,Closed with explanation,Yes
463102,7/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Citibank,CA,Web,Closed with explanation,Yes
480956,7/31/2013,Bank account or service,Other bank product/service,Using a debit or ATM card,Synchrony Financial,NC,Web,Closed with explanation,Yes
471082,7/31/2013,Credit reporting,,Incorrect information on credit report,Experian,CT,Postal mail,Closed with non-monetary relief,Yes
471100,7/31/2013,Student loan,Non-federal student loan,Repaying your loan,PNC Bank N.A.,MD,Web,Closed with explanation,Yes
468579,7/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","Carrington Mortgage Holdings, LLC.",CA,Postal mail,Closed with non-monetary relief,Yes
471127,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,CA,Postal mail,Closed with explanation,Yes
471130,7/31/2013,Credit card,,Billing disputes,Citibank,PA,Postal mail,Closed with monetary relief,Yes
471132,7/31/2013,Credit reporting,,Incorrect information on credit report,Experian,GA,Web,Closed with explanation,Yes
471336,7/31/2013,Bank account or service,Savings account,"Account opening, closing, or management",BB&T Financial,FL,Referral,Closed with monetary relief,Yes
470089,7/30/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Synchrony Financial,KS,Postal mail,Closed with explanation,Yes
471143,7/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","Bayview Loan Servicing, LLC",GA,Web,Closed with explanation,Yes
471152,7/31/2013,Bank account or service,Checking account,Deposits and withdrawals,U.S. Bancorp,TX,Web,Closed with explanation,Yes
475642,7/30/2013,Credit reporting,,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Postal mail,Closed with explanation,Yes
480974,7/31/2013,Debt collection,I do not know,Improper contact or sharing of info,"Platinum Holdings Group, LLC",CA,Web,Closed with explanation,Yes
471160,7/31/2013,Bank account or service,Checking account,Deposits and withdrawals,Bank of America,MI,Phone,Closed with explanation,Yes
471163,7/31/2013,Credit card,,Payoff process,Citibank,ME,Phone,Closed with explanation,Yes
470150,7/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,MD,Postal mail,Closed with explanation,Yes
471166,7/31/2013,Credit reporting,,Incorrect information on credit report,Equifax,CO,Web,Closed with non-monetary relief,Yes
461071,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,FL,Referral,Closed with explanation,Yes
461072,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","Seterus, Inc.",FL,Referral,Closed with explanation,Yes
461073,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Citibank,FL,Referral,Closed with explanation,Yes
471171,7/31/2013,Credit card,,Billing disputes,Discover,HI,Referral,Closed with explanation,Yes
471172,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,FL,Referral,Closed with explanation,Yes
469081,7/30/2013,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Bank of America,NV,Phone,Closed with explanation,Yes
470373,7/30/2013,Credit card,,Billing disputes,Amex,NJ,Referral,Closed with explanation,Yes
470365,7/30/2013,Bank account or service,Checking account,"Account opening, closing, or management",Bank of America,MA,Referral,Closed with explanation,Yes
475640,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,GA,Referral,Closed with explanation,Yes
470298,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Citibank,CA,Referral,Closed with explanation,Yes
471177,7/31/2013,Mortgage,Other mortgage,Settlement process and costs,Embrace Home Loans Inc,NC,Referral,Closed with explanation,No
471179,7/31/2013,Mortgage,Other mortgage,Other,Bank of America,CO,Referral,Closed with non-monetary relief,Yes
471182,7/31/2013,Bank account or service,Checking account,"Account opening, closing, or management",Regions Financial Corporation,,Referral,Closed,Yes
471155,7/31/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,Nationstar Mortgage,MD,Web,Closed with explanation,Yes
484759,7/31/2013,Credit reporting,,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",CO,Web,Closed with non-monetary relief,Yes
470195,7/30/2013,Credit reporting,,Unable to get credit report/credit score,Experian,TX,Web,Closed with non-monetary relief,Yes
471197,7/31/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",Bank of America,NJ,Referral,Closed with explanation,Yes
470224,7/30/2013,Credit card,,APR or interest rate,Discover,MI,Web,Closed with monetary relief,Yes
471204,7/31/2013,Credit card,,Late fee,JPMorgan Chase & Co.,IL,Web,Closed with monetary relief,Yes
471207,7/31/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Third Federal Savings & Loan,OH,Referral,Closed with explanation,Yes
471208,7/31/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Bank of America,FL,Web,Closed with explanation,Yes
480459,7/30/2013,Bank account or service,Other bank product/service,"Making/receiving payments, sending money","PayPal Holdings, Inc.",FL,Phone,Closed with monetary relief,Yes
470210,7/30/2013,Credit reporting,,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",OR,Web,Closed with explanation,Yes
471365,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,NY,Referral,Closed with explanation,Yes
471379,7/31/2013,Consumer Loan,Vehicle loan,Problems when you are unable to pay,Wells Fargo & Company,CA,Referral,Closed with monetary relief,Yes
470288,7/30/2013,Student loan,Non-federal student loan,Problems when you are unable to pay,"Navient Solutions, Inc.",WA,Phone,Closed with explanation,Yes
471220,7/31/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",BBVA Compass,AZ,Web,Closed with explanation,Yes
484764,7/31/2013,Credit card,,Advertising and marketing,Amex,WI,Web,Closed with monetary relief,Yes
471203,7/31/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",PNC Bank N.A.,GA,Web,Closed with non-monetary relief,Yes
471226,7/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,FL,Web,Closed with explanation,Yes
470314,7/30/2013,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, Inc.",NV,Web,Closed with explanation,Yes
487050,7/31/2013,Credit card,,Credit card protection / Debt protection,Capital One,ID,Web,Closed with explanation,Yes
471227,7/31/2013,Credit reporting,,Incorrect information on credit report,Equifax,WA,Web,Closed with non-monetary relief,Yes
470330,7/30/2013,Credit card,,Advertising and marketing,First National Bank of Omaha,VT,Web,Closed with explanation,Yes
